' | Delimitador | 82  | 50 
+ | Operador | 82  | 51 
str | Identificador[3] | 82  | 52 
( | Delimitador | 82  | 55 
contId | Identificador[4] | 82  | 56 
) | Delimitador | 82  | 62 
+ | Operador | 82  | 63 
' | Delimitador | 82  | 64 
] | Delimitador | 82  | 65 
| | Operador | 82  | 67 
' | Delimitador | 82  | 69 
+ | Operador | 82  | 72 
numLinha | Identificador[5] | 82  | 74 
+ | Operador | 82  | 83 
' | Delimitador | 82  | 84 
| | Operador | 82  | 87 
' | Delimitador | 82  | 89 
+ | Operador | 82  | 90 
str | Identificador[6] | 82  | 92 
( | Delimitador | 82  | 95 
coluna | Identificador[7] | 82  | 96 
) | Delimitador | 82  | 102 
+ | Operador | 82  | 104 
' | Delimitador | 82  | 105 
\n | Identificador[8] | 82  | 107 
' | Delimitador | 82  | 109 
linha | Identificador[0] | 83  | 20 
= | Delimitador | 83  | 26 
' | Delimitador | 83  | 28 
' | Delimitador | 83  | 29 
coluna | Identificador[0] | 84  | 20 
= | Delimitador | 84  | 27 
i | Identificador[1] | 84  | 29 
+ | Operador | 84  | 31 
1 | Identificador[2] | 84 
contId | Identificador[0] | 85  | 20 
+ | Operador | 85  | 27 
= | Delimitador | 85  | 28 
1 | Identificador[1] | 85 
if | Palavra Reservada | 88  | 8 
( | Delimitador | 88  | 8 
len | Palavra Reservada | 88  | 11 
( | Delimitador | 88  | 12 
linha | Identificador[0] | 88  | 15 
) | Delimitador | 88  | 20 
> | Operador | 88  | 22 
0 | Identificador[1] | 88  | 24 
) | Delimitador | 88  | 25 
: | Delimitador | 88  | 26 
data | Identificador[0] | 89  | 12 
+ | Operador | 89  | 17 
= | Delimitador | 89  | 18 
linha | Identificador[1] | 89  | 20 
+ | Operador | 89  | 26 
' | Delimitador | 89  | 28 
| | Operador | 89  | 30 
Identificador | Identificador[2] | 89  | 32 
[ | Delimitador | 89  | 45 
' | Delimitador | 89  | 46 
+ | Operador | 89  | 47 
str | Identificador[3] | 89  | 48 
( | Delimitador | 89  | 51 
contId | Identificador[4] | 89  | 52 
) | Delimitador | 89  | 58 
+ | Operador | 89  | 59 
' | Delimitador | 89  | 60 
] | Delimitador | 89  | 61 
| | Operador | 89  | 63 
' | Delimitador | 89  | 65 
+ | Operador | 89  | 68 
numLinha | Identificador[5] | 89  | 70 
+ | Operador | 89  | 79 
' | Delimitador | 89  | 80 
\n | Identificador[6] | 89  | 82 
' | Delimitador | 89  | 84 
linha | Identificador[0] | 90  | 12 
= | Delimitador | 90  | 18 
' | Delimitador | 90  | 20 
' | Delimitador | 90  | 21 
return | Palavra Reservada | 92  | 8 
data | Identificador[0] | 92 
